"Coefficient","Flat_Mean","Flat_CI","Normal_Mean","Normal_CI","Hyper_Mean","Hyper_CI","Ordinal_Mean","Ordinal_CI"
"beta_0","-3.032","[-18.976, 9.117]","1.217","[-1.78, 4.519]","0.187","[-8.781, 4.89]","-0.057","[-4.545, 4.71]"
"beta_1[1]","-0.092","[-19.567, 11.847]","0.529","[-1.062, 2.216]","-0.454","[-4.591, 3.236]","-0.115","[-4.676, 5.432]"
"beta_1[2]","-0.389","[-19.865, 11.531]","0.258","[-1.356, 2.018]","-0.695","[-4.863, 3.023]","-0.342","[-4.893, 5.196]"
"beta_1[3]","0.894","[-18.623, 12.811]","1.425","[-0.171, 3.157]","0.344","[-3.813, 4.003]","0.714","[-3.813, 6.346]"
"beta_1[4]","-1.935","[-21.443, 9.953]","-1.232","[-2.79, 0.399]","-2.066","[-6.229, 1.646]","-1.693","[-6.215, 3.775]"
"beta_1[5]","-2.081","[-21.49, 9.804]","-1.34","[-2.923, 0.329]","-2.108","[-6.334, 1.59]","-1.83","[-6.502, 3.738]"
"beta_1[6]","-0.244","[-19.783, 11.662]","0.369","[-1.268, 2.101]","-0.566","[-4.732, 3.094]","-0.173","[-4.707, 5.292]"
"beta_1[7]","1.354","[-18.452, 13.792]","1.537","[-0.473, 3.707]","0.237","[-4.103, 4.128]","0.729","[-3.797, 6.471]"
"beta_2","0.606","[0.262, 0.964]","0.588","[0.252, 0.931]","0.595","[0.27, 0.925]","0.607","[0.284, 0.939]"
"beta_3","-0.336","[-0.633, -0.04]","-0.339","[-0.637, -0.049]","-0.349","[-0.629, -0.064]","-0.345","[-0.633, -0.058]"
"beta_4","-1.409","[-1.771, -1.069]","-1.349","[-1.697, -1.019]","-1.297","[-1.634, -0.99]","-1.307","[-1.645, -0.987]"
"beta_5[1]","12.405","[0.34, 29.092]","1.505","[-0.981, 3.925]","3.581","[-2.684, 14.6]","3.026","[-1.218, 9.075]"
"beta_5[2]","10.071","[-2, 26.763]","-0.718","[-3.198, 1.673]","1.508","[-4.722, 12.451]","0.938","[-3.248, 6.899]"
"beta_6[1]","-0.931","[-11.323, 9.185]","-0.914","[-2.861, 0.893]","-0.723","[-4.486, 2.771]","-0.8","[-4.037, 2.587]"
"beta_6[2]","0.441","[-9.973, 10.515]","0.4","[-1.535, 2.22]","0.481","[-3.31, 4.026]","0.396","[-2.904, 3.814]"
"beta_6[3]","0.882","[-9.537, 10.961]","0.811","[-1.136, 2.644]","0.849","[-2.961, 4.397]","0.79","[-2.499, 4.244]"
"beta_6[4]","1.036","[-9.388, 11.098]","0.915","[-1.085, 2.815]","0.866","[-2.932, 4.392]","0.8","[-2.493, 4.269]"
"beta_7[1]","-4.923","[-19.063, 6.854]","0.981","[-1.633, 3.292]","0.573","[-4.303, 4.362]","1.108","[-2.775, 5.229]"
"beta_7[2]","-5.99","[-20.169, 5.805]","-0.069","[-2.62, 2.25]","-0.378","[-5.27, 3.439]","0.164","[-3.749, 4.279]"
